iso3,who_short_name_en,atrisk_yf,priority_yf,atrisk_cholera,atrisk_mena,priority_measles,hotspot19_cholera,hotspot20_cholera,hotspot21_cholera,hotspot22_cholera,hotspot23_cholera,priority_polio
GUM,Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTM,Guatemala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GGY,Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,Guinea,1,1,1,1,1,NA,NA,NA,NA,NA,NA
GNB,Guinea-Bissau,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
GUY,Guyana,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTI,Haiti,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
HMD,Heard Island and McDonald Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VAT,Holy See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HND,Honduras,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
HUN,Hungary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISL,Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,India,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1
IDN,Indonesia,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
IRN,Iran (Islamic Republic of),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,Iraq,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1
IRL,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMN,Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISR,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITA,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAM,Jamaica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPN,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JEY,Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOR,Jordan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KAZ,Kazakhstan,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
KEN,Kenya,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
KIR,Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XKX,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KWT,Kuwait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KGZ,Kyrgyzstan,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
LAO,Lao People's Democratic Republic,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
LVA,Latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBN,Lebanon,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
LSO,Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBR,Liberia,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
LBY,Libya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
LIE,Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTU,Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUX,Luxembourg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MWI,Malawi,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
MYS,Malaysia,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
MDV,Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLI,Mali,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
MLT,Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MHL,Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTQ,Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRT,Mauritania,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
MUS,Mauritius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYT,Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,Mexico,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
FSM,Micronesia (Federated States of),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCO,Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNG,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNE,Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSR,Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOZ,Mozambique,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
MMR,Myanmar,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1
"NAM",Namibia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NRU,Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPL,Nepal,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1
NLD,Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCL,New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZL,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIC,Nicaragua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,Niger,1,1,1,1,1,NA,NA,NA,NA,NA,NA
NGA,Nigeria,1,1,1,1,1,NA,NA,NA,NA,NA,1
NIU,Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NFK,Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MKD,North Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNP,Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,Norway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSE,"occupied Palestinian territory, including east Jerusalem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMN,Oman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAK,Pakistan,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1
PLW,Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAN,Panama,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNG,Papua New Guinea,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
PRY,Paraguay,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
PER,Peru,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHL,Philippines,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
PCN,Pitcairn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POL,Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRT,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRI,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QAT,Qatar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REU,R̩union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,Republic of Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU,Romania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RUS,Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RWA,Rwanda,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
BLM,Saint Barth̩lemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHN,Saint Helena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KNA,Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCA,Saint Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAF,Saint Martin (French part),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPM,Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCT,Saint Vincent and the Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WSM,Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMR,San Marino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STP,Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAU,Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEN,Senegal,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
SRB,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYC,Seychelles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLE,Sierra Leone,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
SGP,Singapore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SXM,Sint Maarten (Dutch part),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVK,Slovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVN,Slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLB,Solomon Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOM,Somalia,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1
ZAF,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGS,South Georgia and the South Sandwich Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSD,South Sudan,1,1,1,1,1,NA,NA,NA,NA,NA,1
ESP,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LKA,Sri Lanka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN,Sudan,1,1,1,1,1,NA,NA,NA,NA,NA,1
SUR,Suriname,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJM,Svalbard and Jan Mayen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWE,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYR,Syrian Arab Republic,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
TJK,Tajikistan,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
THA,Thailand,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
TLS,Timor-Leste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TGO,Togo,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
TKL,Tokelau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TON,Tonga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TTO,Trinidad and Tobago,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUN,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUR,Turkey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TKM,Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCA,Turks and Caicos Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUV,Tuvalu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UGA,Uganda,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
UKR,Ukraine,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
ARE,United Arab Emirates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBR,United Kingdom of Great Britain and Northern Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TZA,United Republic of Tanzania,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
UMI,United States Minor Outlying Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,United States of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIR,United States Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
URY,Uruguay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UZB,Uzbekistan,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
VUT,Vanuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VEN,Venezuela (Bolivarian Republic of),1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
VNM,Viet Nam,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
WLF,Wallis and Futuna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESH,Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YEM,Yemen,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1
ZMB,Zambia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
ZWE,Zimbabwe,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
